,price,S(m2),bedrooms,WCs,Address,Direction,news_code,date,content,title,link
1307,"
														Thỏa thuận																											",80,,," Dự án Sim City, Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",, 75651, 16:22 08/03/2022,"Chuyên bán Sim City Quận 9. Cam kết đăng giá thật, không đăng giá ảo. 

Bán Simcity giá rẻ nhất, báo giá chính xác, tư vấn nhiệt tình, chuyên nghiệp, hỗ trợ khách hàng xem nhà 24/7. Giá đăng là giá chủ nhà đưa, giá này còn thương lượng. Cam kết giá chốt sẽ thấp hơn tất cả các bạn sale khác! 

Liên hệ: 0898083869 Ms Mai - Văn phòng công ty: MK Land - Nhà G8 KDC Simcity. 

1. Cập nhật giá bán giai đoạn 2 Sim City (khách mua thanh toán trước 55%). 

* Danh sách nhà phố: 

- Căn dãy N diện tích 5x16m (1 trệt 3 lầu) giá từ 5ty2 tỷ. 

- Căn dãy M diện tích 6x14m (1 trệt 3 lầu) giá từ 5ty4 tỷ. 

- Căn dãy Q diện tích 5x16m (1 trệt 3 lầu) giá từ 5ty2 tỷ. 

- Căn dãy S diện tích 5x16m (1 trệt 3 lầu) giá từ 5ty5 tỷ. 

* Danh sách shophouse: 

- Căn dãy N diện tích 5x16m xây 1 trệt 3 lầu giá từ 5ty6 tỷ. 

- Căn dãy M diện tích 6x14m xây 1 trệt 3 lầu giá từ 5.5 tỷ. 

- Căn dãy N diện tích 5x19m xây 1 trệt 3 lầu view trường học giá từ 5 tỷ 9. 

- Căn dãy M diện tích 5x19m xây 1 trệt 3 lầu giá từ 6ty tỷ. 

- Căn dãy N diện tích 5x19m xây 1 trệt 3 lầu view hồ trục chính giá từ 7.2 tỷ. 

2. Cập nhật giá bán giai đoạn 1 (Khách mua thanh toán đủ 100%). 

* Danh sách nhà phố: 

- Căn dãy A diện tích 5x15m xây 1 trệt 3 lầu giá từ 5ty9 tỷ (thương lượng). 

- Căn dãy F diện tích 6x14m xây 1 trệt 2 lầu giá từ 5ty9 tỷ (thương lượng). 

- Căn dãy G diện tích 5x17,7m xây 1 trệt 2 lầu giá 5ty950 tỷ (thương lượng). 

- Căn dãy B diện tích 5x16m trục chính xây 1 trệt 2 lầu giá 5.9 tỷ (thương lượng). 

- Căn dãy B diện tích 5x16m (1 trệt 3 lầu) trục chính giá 5.9 tỷ (thương lượng). 

* Danh sách shophouse: 

- Căn dãy F diện tích 5x17.5m (1 trệt 3 lầu) giá 6ty7 tỷ (thương lượng). 

- Căn dãy A diện tích 5x17m (1 trệt 3 lầu) đường 20m giá 6.9 tỷ (thương lượng). 

- Căn dãy A diện tích 5x19m (1 trệt 3 lầu) đường 20m giá 7 tỷ (thương lượng). 

- Căn dãy D diện tích 5x20m (1 trệt 3 lầu) view hồ và giá 7ty5 (thương lượng). 

* Danh Sách biệt thự. 

- Căn dãy F diện tích 8x14m xay 1 trệt 2 lầu giá 6tỷ9. 

- Căn dãy H diện tích 12x16m xây 1 trệt 2 lầu giá 12 tỷ. 

- Căn dãy K diện tích 12x16m xây 1 trệt 2 lầu giá 13 tỷ (Thương lượng). 

- Căn Góc dãy K diện tích 16x20m xây 1 trệt 2 lầu giá 18 tỷ. 

Cảm ơn khách hàng đã quan tâm đọc tin! 

Liên hệ: 0898083869 (Ms Mai) - Văn phòng công ty: MK Land - Nhà G8 KDC Simcity.","Một căn duy nhất rẻ hơn thị trường 300tr, giá 5tỷ1. cam kết không báo giá ảo",https://batdongsan.vn/mot-can-duy-nhat-re-hon-thi-truong-300tr-gia-5ty1-cam-ket-khong-bao-gia-ao-r75651
1308,"
														45 tỷ																											",5000,,," Khu Công Nghiệp Tân Đô, Xã Đức Hòa Hạ, Huyện Đức Hòa, Long An",, 33440, 13:15 21/02/2022,"CẦN BÁN NHÀ XƯỞNG - VĂN PHÒNG TRIỆU ĐẠI PHÁT
Địa chỉ Nhà kho xưởng : Lô C14, đường số 2, KCN Tân đô, huyện Đức Hoà, Long An.
- Tổng DT khuôn viên : 5000 m2
+ DT kho xưởng : 2500 m2 ( trong đó 700 m2 xưởng sạch)
+ DT văn phòng : 670m2
- Độ cao Tường / Trần : 3.4m/ 10,6m
- Điện nước : 3 pha hay hạ bình, bao nhiêu KVA, nước thế nào: đã hạ thế
560kv , đã đấu nối bể xử lý nước thải, nước sinh hoạt theo tiêu chuẩn KCN
- Phòng cháy chữa cháy : tự động trong xưởng và văn phòng. Đạt theo kiểm nghiệm.
- Loại xe lưu thông vào xưởng : 24/24, cont 20, cont 40, xe tải lớn 1-5,10,20 tấn
- Phù hợp sử dụng : Kho xưởng chứa hàng hoặc sản xuất các ngành kinh doanh.
- Hiện trạng : đang ngừng sản xuất, xưởng sạch đầy đủ tiện nghi, có bảo vệ.
GIÁ BÁN 45 TỶ (Thương lượng nếu thiện chí)",NHÀ XƯỞNG - VĂN PHÒNG TRIỆU ĐẠI PHÁT 5000M2,https://batdongsan.vn/nha-xuong-van-phong-trieu-dai-phat-5000m2-r33440
1309,"
														6.4 tỷ																											",108,,," Đường ĐT 719, Xã Tân Thành, Huyện Hàm Thuận Nam, Bình Thuận", Tây, 48413, 14:01 23/02/2022,"???????? MUA NHANH KẺO LỠ QUÝ KHÁCH HÀNG ƠI
☝Nhà xây dựng 1 trệt 2 lầu và 1 sân thượng.
????Diện tích đất: 6x18m
????Diện tích sàn xây dựng: 333.95 m2 - Đường 13m2 ( Căn Kế Góc) - Vị Trí trước biển đa công năng sử dụng . - Tiện ích công viên , phố đi bộ biển, ....
????Bàn giao hoàn thiện bên ngoài, thô bên trong để khách hàng tự do thiết kế theo sở thích cá nhân.
????The Sound là một ngôi nhà đa công năng sử dụng: kinh doanh nhà hàng, quán ăn, cà phê, bar, club, karaoke, spa, văn phòng đại diện, homestay,...và tuyệt vời hơn nữa là để ở. => Bởi đây chính là tài sản tích lũy truyền đời cho thế hệ tương lai ????
????TRƯỚC SAU GÌ CŨNG MUA - HÃY LÀ NGƯỜI MUA TRƯỚC",Chính Chủ Cần Chuyển Nhượng Gấp The Sound -TLB,https://batdongsan.vn/chinh-chu-can-chuyen-nhuong-gap-the-sound-tlb-r48413
1310,,,,,,,,,"BATDONGSAN.VN
Batdongsan.vn là Website thuộc sở hữu của Công ty Cổ phần Đầu tư Tiếp thị Bất động sản Việt Nam (Batdongsan.vn.,JSC), thành lập ngày 14/10/2015, Mã số Doanh nghiệp 0107025430 và trụ sở tại Số 14 Villa D, The Manor, Khu đô thị mới Mỹ Đình Mễ Trì, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Thành phố Hà Nội.",,https://batdongsan.vn/du-an-nha-pho-lien-ke-chuan-singapore-vsip-sieu-sang-so-hong-lau-dai-gia-chi-ngang-chung-cu-r67308
1311,"
														12.2 tỷ																											",120,4,4," Dự án Geleximco Lê Trọng Tấn, Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",, 75544, 15:24 08/03/2022,"Chính chủ cần bán lô nhà vườn khu D7 ô 10, dự án Geleximco Lê Trọng Tấn. 
Diện tích: 120m2 xây 4 tầng, mặt tiền 6m. 
Hướng Tây Nam, điện nước đầu chờ trước nhà. 
Nhà view rất thoáng mát, cách Aeon Hà Đông 500m. 
Đường trước nhà 13,5m vị trí cực kỳ thuận tiện để ở, làm văn phòng... 
Giá bán: 12.2 tỷ cả nhà (giá rẻ đầu tư). 
Quý khách quan tâm liên hệ: 0968.197.996 Mr Nguyên (Để được tư vấn, xem dự án).","Chính chủ bán lô nhà vườn D7 ô 10, dự án Geleximco Lê Trọng Tấn. Liên hệ: 0968.197.996",https://batdongsan.vn/chinh-chu-ban-lo-nha-vuon-d7-o-10-du-an-geleximco-le-trong-tan-lien-he-0968197996-r75544
1312,"
														2.05 tỷ																											",81,,," kiệt 140 Khúc Thừa Dụ, phường Thủy Dương, thị xã Hương Thủy", Đông-Nam, 81369, 14:28 25/04/2022,"Đất mặt tiền kiệt 140 Khúc Thừa Dụ, 81,4m2 chỉ 2,0x tỷ
Diện tích: 81,4m2 ngang 5,6m, Đường 4m
Thuộc phường Thủy Dương, Huế, cạnh ô tô Mazda, Khu vực sầm uất tiềm năng cao. Chạy xe máy chỉ 5 phút đến Big C. 
Chỉ: 2,0x tỷ (thương lượng)
Liên hệ: 0789.441.879 (gặp em Đào để xem đất ạ)","Đất mặt tiền kiệt 140 Khúc Thừa Dụ, 81,4m2 chỉ 2,0x tỷ",https://batdongsan.vn/dat-mat-tien-kiet-140-khuc-thua-du-814m2-chi-20x-ty-r81369
1313,"
														1.9 tỷ																											",48,2,1,, Tây-Bắc, 80664, 10:13 22/04/2022,"Công năng tương đương căn 2PN nhưng giá chỉ bằng 1PN (Tối đa chỉ 1 tỷ 9 sở hữu ngay căn hộ)
Không gian +1 cho chủ nhân tự do sáng tạo
Bàn giao hoàn thiện nội thất cao cấp, chỉ việc xách vali về ở
Tận hưởng tiện ích 5* chuẩn Nhật: vườn Nhật nội khu 15000 m2, chòi nghỉ phong cách resort, phòng gym cao cấp, vườn nướng BBQ, khu vui chơi trẻ em, lễ tân và an ninh riêng trực 24/7
Đặc biệt, bỏ ra 20% vốn tự có nhận nhà về ở ngay, vẫn được HTLS 0% đến T10/2023. Tổng chiết khấu lên tới 18,5% GTCH nếu thanh toán bằng vốn tự có.","Chỉ từ 460 triệu sở hữu Căn hộ cao cấp đa công năng chiết khấu tới 18,5% tại ""Thành phố biển"" Vinhomes Ocean Park",https://batdongsan.vn/chi-tu-460-trieu-so-huu-can-ho-cao-cap-da-cong-nang-chiet-khau-toi-185-tai-thanh-pho-bien-vinhomes-ocean-park-r80664
1314,"
														5 tỷ																											",65,3,3," 238/16 Võ Văn Hát, P. Long Trường, Q9, TP. Thủ Đức", Đông-Bắc, 77972, 15:00 03/01/2022,"Bán Nhà 238/16 Võ Văn Hát, P. Long Trường, Q9, TP. Thủ Đức, DT: 5 x 13, 3pn + 3wc, Một sẹc, nhà hai mặt hẻm trước sau 5m nhựa. Nhà đang cho thuê 7tr/tháng, Khu dân cư an ninh, gần trường, chợ, khu công nghệ cao Q9.",Bán gấp nhà Q9,https://batdongsan.vn/ban-gap-nha-q9-r77972
1315,"
														19 triệu														/tháng													",67,,1," Dự án Sài Gòn Gateway, Đường Xa Lộ Hà Nội, Phường Hiệp Phú, Quận 9, Hồ Chí Minh",, 65650, 16:08 03/03/2022,"Chuyên cho thuê Shophouse Saigon Gateway. Mặt trước sầm uất giá 19tr. 
Với hơn 1000 căn hộ đã ở full thuận tiện kinh doanh nhiều ngành nghề. 
LH: 0909.333.960 Duyên.","Chuyên cho thuê Shophouse Saigon Gateway, mặt trước sầm uất giá 19tr, LH: 0909333960",https://batdongsan.vn/chuyen-cho-thue-shophouse-saigon-gateway-mat-truoc-sam-uat-gia-19tr-lh-0909333960-r65650
1316,"
														15 triệu														/tháng													",154,,," Phố Trần Điền, Phường Định Công, Hoàng Mai, Hà Nội",, 77062, 11:35 09/03/2022,"Chính chủ cho thuê kho hàng, xưởng SX mới dựng, tôn lạnh, điện 3 pha, xe 5 tấn đỗ cửa - DT 154m2, 340m2, tại Trần Điền - Định Công. 
- Kho mới hoàn toàn, tôn lạnh chống nóng, tôn mới, xe 5 tấn đỗ cửa - phù hợp để kho hàng hoá, online, VP, xưởng SX. 
- Giá thuê: 15 triệu/tháng. 
LH: Hương - 0984 103 716 / 0944 950 886. 
(Miễn trung gian).","Cho thuê kho, xưởng, tôn lạnh, xe 5 tấn đỗ - DT 154m2, 340m2, tại Trần Điền - Định Công - 15 triệu",https://batdongsan.vn/cho-thue-kho-xuong-ton-lanh-xe-5-tan-do-dt-154m2-340m2-tai-tran-dien-dinh-cong-15-trieu-r77062
1317,"
														4.2 tỷ														/tháng													",48,,,, Đông-Nam, 79896, 19:16 19/04/2022,"+ Diện tích: 48m2 (4m x 12m)
+ Kết cấu: 1 trệt 1 lầu 1 lửng , 3 phòng ngủ, 2 WC, phòng khách bếp, sân để xe…
+ Nhà 1 đời chủ ở lâu đời 
+ Khu vực nhiều tiện ích đí vài phút tới Công Viên Văn Hóa Gò Vấp, cạnh chung cư
+ Pháp Lý: Sổ hông riêng, không quy hoạch, vuông đẹp không lỗi phong thủy.","Đường Số 5 Phường 17 Gò Vấp – 3 PHÒNG NGỦ - 4m x 12m – 48M2 – 4,2 TỶ",https://batdongsan.vn/duong-so-5-phuong-17-go-vap-3-phong-ngu-4m-x-12m-48m2-42-ty-r79896
1318,"
														83 triệu																											",65,3,3," 238/16 Võ Văn Hát, P. Long Trường, Q9, TP. Thủ Đức", Tây-Bắc, 78014, 17:42 25/03/2022,"Bán Nhà 238/16 Võ Văn Hát, P. Long Trường, Q9, TP. Thủ Đức, DT: 5 x 13, 3pn + 3wc, Một sẹc, nhà hai mặt hẻm trước sau 5m nhựa. Nhà đang cho thuê 7tr/tháng, Giá: 5,5 tỷ TL, HH MG: 1%
LH: 0931.655.855",Bán gấp nhà TP. Thủ Đức (Q9 cũ),https://batdongsan.vn/ban-gap-nha-tp-thu-duc-q9-cu-r78014
1319,"
														5.6 tỷ														/tháng													",160,6,7, Quận 11,, 78296, 20:19 09/04/2022,"•	Mô Tả : 
o	Hẻm xe tăng, gần trường Quyết Thắng, đối diện Trường đua Phú Thọ, cách đường chính Lê Đại hành 200m, khu nhà cao tầng, dân trí cao.
o	Vị trí giáp quận 6, quận Tân Phú, Tân Bình , ra quận 5 và quận 10 chỉ 5 phút.
o	Kết cấu: 1 trệt, 1 lửng, 6PN, 7WC. 
o	Diện tích đất 4x20, sân trước 10m, sân sau 10m. Nhà mới, nội thất đẹp. 
o	Thuân tiện mở văn phòng, công ty, phòng tập yaga, gym, phòng khám chữa bệnh, trung tâm dạy kèm...
o	Ưu tiên thuê kinh doanh lâu dài.
•	Liên Hệ: C. Phúc 0903.062.782","Cho thuê nhà mới HXH, diện tích nhà lớn, 4 tầng, tiện KD, giá 35tr TL.",https://batdongsan.vn/cho-thue-nha-moi-hxh-dien-tich-nha-lon-4-tang-tien-kd-gia-35tr-tl-r78296
1320,"
														32.5 tỷ																											",110,18,, Hà Nội,, 81499, 15:45 25/04/2022,"Bán nhà phố Giảng Võ, nhà vị trí đẹp, lô góc 2 mặt thoáng, cách mặt phố Giảng Võ 20m.
Nhà 10 tầng đầy đủ tiên nghi, thiết kế kiểu căn hộ chung cư cao cấp cho thuê, hiệu xuất cho thuê 150tr/ tháng
Phố Giảng Võ tuyến phố kinh doanh sầm uất ngày đêm, gần các tuyến phố: Láng Hạ, Ngọc Khách, Cát Linh, Nguyễn Thái Học... giao thông thuận tiện
Nhà thích hợp cho khách mua giữ tiền.
Sổ đỏ chính chủ, sẵn sàng giao dịch
Giá: 32.5 tỷ, có thương lượng

Liên hệ trực tiếp hoặc zalo: 0868.412.862","Bán nhà phố Giảng Võ, Đống Đa 110m, 10 tầng, mt 6m. Giá: 32.5 tỷ",https://batdongsan.vn/ban-nha-pho-giang-vo-dong-da-110m-10-tang-mt-6m-gia-325-ty-r81499
1321,"
														10 triệu														/tháng													",240,,," Đường Xa Lộ Hà Nội, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Đông-Bắc, 20085, 14:37 19/02/2022,"Cần cho thuê đất dự án khu dân cư GIA HÒA. Đường xá hạ tầng đã hoàn thiện, quy hoạch sạch sẽ và thoáng mát, đường đẹp, khu dân cư vip. THUÊ ĐƯỢC 15 NĂM
VỊ TRÍ: Đỗ xuân hợp, phước long b, quận 9.
KẾT CẤU: đất biệt thự bắt buộc xây theo mẫu ( 2 tấm rưỡi ), nhưng được thay đổi công năng bên trong nhà . Đất đã được tráng nền và dựng tường
DIỆN TÍCH: 240m2 (12x20)
GIÁ: 10 tr/ tháng. Cho thuê tối đa 15 năm.
* Anh/chị cần hỗ trợ tư vấn MUA hoặc kí gửi BÁN – CHO THUÊ bất động sản QUẬN 9
Phone & Zalo: 0898.419.479 KHUONG (cần thêm thông tin tư vấn zalo hoặc phone em)","✅ Đất dân cư GIA HÒA, plong b, 240m2, thuê 15 NĂM",https://batdongsan.vn/dat-dan-cu-gia-hoa-plong-b-240m2-thue-15-nam-r20085
1322,"
														5.6 tỷ																											",57,4,4, 134/40 đường dố 1 p16 GV,, 79209, 02:03 16/04/2022,"NHÀ 2 TẦNG - SỔ VUÔNG A4 - HẺM THÔNG XE HƠI  – ĐƯỜNG SỐ 1 P16 GÒ VẤP – 57M2/4PN/4WC GIÁ TÔT CHO ĐẦU TƯ 5,7 TỶ
Mô tả:
+Diện tích 57.6m2 (4m X 14.4m) gồm trệt, lầu BTCT, 3PN, 4WC, bếp.
+Hẻm nhựa xe hơi tránh, hẻm thông tứ tung, 1 sẹc rất gần mặt tiền đường số 1.
+Ngay công viên làng hoa, Trung tâm gò vấp Quang trung.
+Sổ hoàn công đầy đủ, vuông như A4, pháp lý chuẩn công chứng trong ngày.


LH: A Khánh - 0909967030
Miễng cò",BÁN GẤP NHÀ 2 TẦNG 4PN TRUNG TÂM GÒ VẤP,https://batdongsan.vn/ban-gap-nha-2-tang-4pn-trung-tam-go-vap-r79209
1323,"
														14.4 tỷ																											",65,5,5,,, 81428, 13:19 25/04/2022,"Bán nhà phố Duy Tân, Cầu Giấy, 65m2x4T, lô góc 2MT oto tránh, 14.4 tỷ!
Chính chủ chuyển đổi nơi ở, cần bán nhà phân lô phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội. Tọa lạc tại vị trí khu Phân lô văn minh, yên tĩnh; ngôi nhà phân lô 02 mặt tiền, lô góc, oto tránh dừng đỗ ngày đêm hiện đang làm văn phòng công ty cực kỳ có lộc.
- Vị Trí: Phố Duy Tân, được mệnh danh là Phố Wall của Hà Nội, trung tâm tài chính, chính trị Quận Cầu Giấy, xung quanh vô vàn tiện ích, các tòa nhà Chung Cư, công ty... môi trường văn minh, thanh lịch.
- Về ngôi nhà: Diện tích 65m2, lô góc 02 mặt tiền chính chủ tự xây cực kỳ tâm huyết, 02 mặt tiền cả 2 là oto tránh dừng đỗ ngày đêm. Nhà xây 4 tầng làm công ty nên mới tinh chưa vết xước, mời Quý Anh/chị xem ảnh!
- Sổ đỏ chính chủ, thông số vàng, chủ nhà gửi ngân hàng giữ hộ (không lo quy hoạch), có giao dịch chủ tự rút sổ!
- Giá nhẹ nhàng 14.4 tỷ thương lượng gia lộc tùy độ nhiệt của khách!
Quý anh/chị có nhu cầu xem nhà và mua nhà vui lòng liên hệ: 0963943003 Mr. Tuấn Anh để được hỗ trợ!","Bán nhà phố Duy Tân, Cầu Giấy, 65m2x4T, lô góc 2MT oto tránh, 14.4 tỷ!",https://batdongsan.vn/ban-nha-pho-duy-tan-cau-giay-65m2x4t-lo-goc-2mt-oto-tranh-144-ty-r81428
1324,"
														50 triệu														/tháng													",1400,,,,, 43673, 21:00 22/02/2022,"Chính chủ cho thuê đất diện tích lớn, vuông vức, đẹp, nền xi măng sạch sẽ, ngay trung tâm quận Bình Thạnh giáp Phạm Văn Đồng , đường xe tải rất tiện làm nhà xưởng, kho, bãi xe, garage và những tiện ích khác","Cho Thuê Kho Bãi Bình Lợi 1,400m2",https://batdongsan.vn/cho-thue-kho-bai-binh-loi-1400m2-r43673
1325,"
														1.69 tỷ																											",547,,," Đông Thanh, Lâm HÀ, Lâm Đồng",, 81494, 15:53 25/04/2022,"Chính chủ cần bán lô đất nghỉ dưỡng 547m2 đất Đông Thanh, Lâm Hà, Lâm Đồng 
Vị trí tại Đông Thanh (cách đường nhựa 99m)
Diện tích: 10x62 thổ cư 75m2
View tượng Phật mẹ Quan Âm
Có sẵn sổ hồng riêng
Giá bán: 1tỷ690 bớt lộc
Liên hệ: 0913323293 Trần Lệ Xuân","Chính chủ cần bán lô đất nghỉ dưỡng 547m2 đất Đông Thanh, Lâm Hà, Lâm Đồng. Có 100m2 thổ cư",https://batdongsan.vn/chinh-chu-can-ban-lo-dat-nghi-duong-547m2-dat-dong-thanh-lam-ha-lam-dong-co-100m2-tho-cu-r81494
1326,"
														1000 nghìn														/tháng													",2500,,,,, 41255, 14:43 22/02/2022,"Mình cần cho thuê 3000m2 full đất thổ cư
Có 500m2 là nhà đang ở còn 2500 là đang trồng lúa
Ai cần thuê để làm nhà xưởng hay xây trọ thì alo mình nhé
Ace môi giới chạy dùm
Còn giá thì mình thương lượng sau ạ",Mình có 3000m2 đất thổ cư full cần cho thuê,https://batdongsan.vn/minh-co-3000m2-dat-tho-cu-full-can-cho-thue-r41255
1327,"
														4.2 tỷ																											",35,2,2," Bình Thạnh, Hồ Chí Minh",, 81460, 11:32 25/04/2022,"BÁN NHÀ ĐINH TIÊN HOÀNG, BÌNH THẠNH SÁT Q3, HẺM SẠCH SẼ, CÁCH HẺM XE HƠI TRÁNH 40M, NHÀ ĐANG CHO THUÊ 8TR/THÁNG. DIỆN TÍCH 35M2 CHỈ 4.2 TỶ CÓ THƯƠNG LƯỢNG.
Diện tích: 3.5x10m (nhà 2 tầng BTCt)
tiện ích bao quanh, gần chợ Bà Chiểu, TT Quận Bình thạnh, 10 phút qua Quận 1, giao thông đi lại thuận tiện.
Sổ đẹp, công chứng nhanh trong ngày. 
Liên hệ Tâm 0815813400 để được hỗ trợ xem nhà và mua nhà giá tốt. Uy Tín- Tận Tâm- Nhiệt Tình.","Bán nhà Đinh Tiên Hoàng, Bình Thạnh, đang cho thuê, cách hẻm xe hơi 40m, chỉ 4.2ty",https://batdongsan.vn/ban-nha-dinh-tien-hoang-binh-thanh-dang-cho-thue-cach-hem-xe-hoi-40m-chi-42ty-r81460
1328,"
														Thỏa thuận																											",120,,," Dự án Shophouse Vinhomes Central Park, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",, 62521, 03:05 02/03/2022,"cần cho thuê gấp mặt bằng shophouse giá cực rẻ. Vị trí Shophouse nằm ngay mặt sảnh lễ tân của tòa nhà khu đông dân cư qua lại. 
P3 view nội khu giá 111,305 triệu. 
P1 view nội khu giá 111,305 triệu. 
P6 view mặt tiền đường chính giá 155,827 triệu. 
L1 view Landmark 81 giá 166,958 triệu. 
P4 view mặt tiền đường công viên trung tâm giá 160tr. 
Liên hệ xem nhà 0901511155.",Cho thuê mặt bằng shophouse Vinhomes Central Park 0901511155,https://batdongsan.vn/cho-thue-mat-bang-shophouse-vinhomes-central-park-0901511155-r62521
1329,"
														8.5 tỷ																											",980,,," xã Long Hòa, huyện Cần Giờ, Hồ Chí Minh",, 79777, 16:59 19/04/2022,"Cần bán lô đất tại đường 30/4, xã Long Hòa, huyện Cần Giờ, Hồ Chí Minh
-Diện tích: 980m2.
-Đường bê tông rộng 2m, thuận tiện di chuyển.
-Vị trí cực đẹp, nằm trên trục đường 30/4 kế bên chợ Hàng Dương, sát ngay dự án lấn biển của Vingroup, đi bộ ra chỉ mất 2 phút. Cực kỳ tiềm năng để đầu tư.
+ Cách vòng xoay Long Hòa 1km.
+ Cách UBND xã 1.5km.
+ Cách trường học. Chợ Long Hòa 1km.
+ Cách Khu vui chơi Vingroup 500m.
-Thuận tiện ở, kinh doanh, xây biệt thự vườn, cho thuê hay đầu tư đón đầu khu lấn biển...
-Chính chủ không qua trung gian.

Pháp lý: sổ đỏ chính chủ.
Giá bán: 8,5 tỷ
Khách có thiện chí liên hệ: anh Tuấn 0987318780(zalo) - chị Hằng 0949043188 (zalo)","Bán lô đất vị trí cực đẹp, đắc địa tại xã Long Hòa, Cần Giờ, HCM",https://batdongsan.vn/ban-lo-dat-vi-tri-cuc-dep-dac-dia-tai-xa-long-hoa-can-gio-hcm-r79777
1330,"
														30 tỷ																											",40,3,3,,, 81304, 21:09 23/04/2022,"Nội dung:

- Nhà nằm vị trí gần trung tâm , Hà Nội , trong ngõ nhưng chỉ cách đường ô tô 300 m  ,  thông thương qua lai giao cắt với ngã 7 Ô Chợ Dừa Tôn Đức  Thắng.

-  Vô Vàn  tiện ích , 100m ra bênh viên Đống Đa 150m ra công viên 1.6 . dân trí tốt , an ninh cực cao…

- DT  sử dụng 40m2 ,chủ tự xây 3 T chắc chắn MT 6m sạch sẽ thoáng mát , phòng nào cũng có cửa sổ, nội thất tuyêt đẹp…

-Hàng xóm thân thiện ,nhà chủ tự xây nên rât chắc chắn…

- Sổ đỏ cất két sẵn sàng giao dich..

- giá 3xxx tỷ ,có thương lượng , nếu khách thiên tri…

- Liên Hê : chính chủ , Mr Thu 0912919883: ZaLo để biết thêm thông tin chi tiết ...",Cần Bán Nhà nguyễn Lương Bằng ĐỐNG ĐA DT40 M X MT 6.0 M x 3 T giá nhỉnh 3 tỷ,https://batdongsan.vn/can-ban-nha-nguyen-luong-bang-dong-da-dt40-m-x-mt-60-m-x-3-t-gia-nhinh-3-ty-r81304
1331,"
														Thỏa thuận																											",270,,," Dự án Sun Beauty Onsen Thanh Hóa, Quảng Xương, Thanh Hóa",, 75323, 13:14 08/03/2022,"S3-31: Biệt thự SL áp góc cạnh công viên 216m2 : Giá gốc 2x tỷ 
S3-28: Biệt thự đơn lập 330m2 : Giá gốc 3x tỷ 
S3-09: Biệt thự SL 216m2: Giá gốc 2x tỷ 
S3-33: Biệt thự SL góc 270m2 view Công viên: Giá ""Check Admin"" 
S1-25: Biệt thự đơn lập góc 364m2 view Công viên: Giá ""Check Admin"" 
S2-03: Biệt thự đơn lập áp góc 303m2 : Giá ""Check Admin"" 
H2-19: Biệt thự SL 216m2 : Giá ""Check Admin"" 
------------------- 
Liên Hệ: 0915094106 check giá chi tiết 
-------------------- 
Sun Beauty Onsen tận hưởng nguồn khoáng nóng tự nhiên dẫn vào từng căn biệt thự, nồng độ khoáng chất và quy trình tắm khoáng đạt tiêu chuẩn Nhật Bản 
Vốn ban đầu chỉ từ 10% 
Hỗ trợ vay 0% lãi suất trong vòng 30 tháng 
Ân hạn nợ gốc lên tới 40 tháng 
Chiết khấu lên tới 10% - Chính sách ưu đãi khủng tháng 3 
Chương trình chia sẻ doanh thu, uỷ thác do chính CĐT Sun group quản lý và vận hành 
--------------------------- 
 Sun Beauty Onsen là môt dự án ĐỘC ĐÁO - ĐẲNG CẤP - SỐ LƯỢNG CÓ HẠN 
 - Quy mô dự án: 99,5 Ha 
 - Hình thức sở hữu: LÂU DÀI 
 - Phong cách kiến trúc: Nhật Bản 
 - Loại hình biệt thự : song lập, đơn lập 
 - Chiều cao tầng: 2 tầng (Tầng 1 cao 4.2m, Tầng 2 cao 3.3m) 
- Tiêu chuẩn hoàn thiện: full đồ 
Sun Beauty Onsen chia làm 3 phân khu : 
1. Khu Du lịch nghỉ dưỡng và công viên văn hoá Nhật Bản 
2. Khu nhà phố thương mại phong cách phố cổ Kyoto 
3. Tổ hợp Biệt thự nghỉ dưỡng và dịch vụ cao cấp 
Sun Beauty Onsen Đa dạng loại hình sản phẩm 
 Biệt thự đơn lập: DT 300-600m 
 Biệt thự song lập :DT 218m 
Tiện ích: 
- Công viên Park Onsen: 10.37ha 
- Trung tâm ẩm thực Nhật Bản: 6.5ha 
- Khu Onsen Public: 13.55ha 
- Trung tâm tổ chức sự kiện: 1ha 
- Công viên văn hoá Edo Culture: 20.79ha 
- Trường liên cấp, trường mầm non, nhà sinh hoạt cộng đồng 
 Chương trình chia sẻ doanh thu, uỷ thác cđt sun group quản lý và vận hành","Độc quyền quỹ VIP căn góc S3-33, S3-31, S1-25, H2-19 Sun Onsen Thanh Hóa, giá gốc CĐT",https://batdongsan.vn/doc-quyen-quy-vip-can-goc-s3-33-s3-31-s1-25-h2-19-sun-onsen-thanh-hoa-gia-goc-cdt-r75323
